Province,Population,Electors/Électeurs,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",519716,418226,217916,98.8,2715,1.2,220631,52.8
"Prince Edward Island/Île-du-Prince-Édouard",142907,118964,84462,99,815,1,85277,71.7
"Nova Scotia/Nouvelle-Écosse",923598,779247,488907,99.2,3833,.8,492740,63.2
"New Brunswick/Nouveau-Brunswick",747101,622974,397801,99.2,3100,.8,400901,64.4
"Quebec/Québec",8164361,6508575,4053241,98.1,79026,1.9,4132267,63.5
"Ontario",13448494,10492441,6454558,99.2,51011,.8,6505569,62
"Manitoba",1278365,931927,573170,99.2,4407,.8,577577,62
"Saskatchewan",1098352,808175,515824,99.4,3089,.6,518913,64.2
"Alberta",4067175,3033419,1943089,99.4,11821,.6,1954910,64.4
"British Columbia/Colombie-Britannique",4648055,3713048,2264585,99.3,15376,.7,2279961,61.4
"Yukon",35874,30482,19406,99.3,142,.7,19548,64.1
"Northwest Territories/Territoires du Nord-Ouest",41786,30519,14095,98.9,155,1.1,14250,46.7
"Nunavut",35944,21499,7189,98.9,78,1.1,7267,33.8
