Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",0,0,222,659,627,1772,0,0,247,881,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,1387030,0,0,0,0,0,0,0,0
"Canada's Fourth Front/Quatrième front du Canada",0,0,0,0,0,546,0,0,136,0,0,0,0
"Canadian Nationalist Party/Parti Nationaliste Canadien",0,0,0,0,28,85,0,168,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",141,412,124,285,374,8691,2714,305,3453,2402,0,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,180,80,254,1776,125,0,429,1061,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",67962,23321,137300,144229,684661,2277937,267811,372904,1438233,811362,6881,4157,2469
"Green Party of Canada/Le Parti Vert du Canada",7617,17817,58674,75738,193420,429671,30435,14991,59271,297835,2201,1731,206
"Liberal Party of Canada/Parti libéral du Canada",109148,37300,221087,164970,1468603,2863719,156727,68200,288010,624545,7034,6467,2918
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,126,0,4533,0,116,880,2712,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,494,426,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,1379,1397,0,0,633,715,0,0,0
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",0,0,249,201,0,0,0,60,0,0,0,0,0
"New Democratic Party/Nouveau Parti démocratique",57664,6444,100853,41212,464414,1158696,123331,114213,241376,583401,4617,3640,3861
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",0,0,0,0,3815,0,0,0,0,0,0,0,0
"Parti Rhinocéros Party/Parti Rhinocéros Party",0,0,138,0,7023,1412,0,75,717,173,0,0,0
"People's Party of Canada/Parti populaire du Canada",335,0,6260,8926,62951,108427,9988,10457,46672,39496,284,296,0
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,426,901,0,0,0,207,0,0,0
"Stop Climate Change/Arrêtons le changement climatique",0,0,0,0,0,296,0,0,0,0,0,0,0
"The United Party of Canada/Parti Uni du Canada",0,0,0,0,0,602,0,0,0,0,0,0,0
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",411,0,1069,200,381,2717,0,170,1208,144,0,0,0
"Independent/Indépendant(e)",0,0,7766,3184,6784,28542,1108,971,1696,22495,0,0,0
"No Affiliation/Aucune appartenance",0,0,0,0,1674,71,0,0,0,0,0,0,0
